epoch,batches,samples,train_top1,loss,ce,kd,delta_l2,smoothness,norm_affine,val_samples,val_teacher_top1,val_candidate_top1,val_drop_top1,val_candidate_ce,val_logit_mse_per_sample,val_kl_teacher_to_candidate_per_sample
1,128,4096,99.70703125,0.23806522507220507,0.1805874360143207,0.11495494859991595,0.00029748558531461633,2.0408497931168057e-05,0.0,10000,81.02,77.81,3.21,0.9221807419776916,112.33279093017578,0.3665971215248108
2,128,4096,99.853515625,0.20627094514202327,0.12407127040205523,0.16439828171860427,0.0004819425930691068,5.108322383762243e-05,0.0,10000,81.02,78.55,2.47,0.8792043034553528,64.49645424804687,0.31356877088546753
3,128,4096,100.0,0.19523298717103899,0.11562034889357165,0.15922404237790033,0.0005463451534524211,6.898038640201776e-05,0.0,10000,81.02,78.86,2.16,0.8735935057640075,89.57566302490234,0.2893680743694305
