method,samples,teacher_top1,candidate_top1,drop_top1,candidate_ce,logit_mse_per_sample,kl_teacher_to_candidate_per_sample
posthoc_dense_transition_LUT,10000,81.02,78.96,2.06,1.1012520071029663,24.577839208984376,0.1663160291671753
quantized_arithmetic_LIF,10000,81.02,78.9,2.12,1.1026695377349853,24.559827560424804,0.1660740522146225
fixed_CNL_LUT_LIF,10000,81.02,78.98,2.04,1.101281943321228,24.570013159179688,0.16615632863044738
trainable_CNL_LUT_LIF_initial,10000,81.02,78.77,2.25,1.0666292560577393,22.71042139892578,0.16170529546737672
trainable_CNL_LUT_LIF_final,10000,81.02,78.58,2.44,0.8866628184318542,82.54364971313477,0.3008006809234619
