method,samples,teacher_top1,candidate_top1,drop_top1,candidate_ce,logit_mse_per_sample,kl_teacher_to_candidate_per_sample
posthoc,10000,81.02,78.96,2.06,1.1012520071029663,24.577839208984376,0.1663160291671753
quantized_arithmetic,10000,81.02,78.9,2.12,1.1026695377349853,24.559827560424804,0.1660740522146225
lut_if_initial,10000,81.02,78.77,2.25,1.1003175825119018,24.547121990966797,0.16619244616031648
lut_if_final,10000,81.02,78.42,2.6,0.9660563277244568,56.616154718017576,0.21609001514911652
