method,samples,teacher_top1,candidate_top1,drop_top1,candidate_ce,logit_mse_per_sample,kl_teacher_to_candidate_per_sample
posthoc_dense_transition_LUT,10000,81.02,78.96,2.06,1.1012520071029663,24.577839208984376,0.1663160291671753
quantized_arithmetic_LIF,10000,81.02,78.9,2.12,1.1026695377349853,24.559827560424804,0.1660740522146225
fixed_CNL_LUT_LIF,10000,81.02,78.98,2.04,1.101281943321228,24.570013159179688,0.16615632863044738
structured_residual_CNL_LUT_LIF_initial,10000,81.02,78.77,2.25,1.0666292560577393,22.71042139892578,0.16170529546737672
structured_residual_CNL_LUT_LIF_final,10000,81.02,78.86,2.16,0.8735935057640075,89.57566302490234,0.2893680743694305
