epoch,batches,samples,train_top1,loss,ce,kd,delta_l2,neighbor_smoothness,val_samples,val_teacher_top1,val_candidate_top1,val_drop_top1,val_candidate_ce,val_logit_mse_per_sample,val_kl_teacher_to_candidate_per_sample
1,128,4096,99.8779296875,0.2794855752727017,0.2517965715378523,0.05537800534511916,2.7448585618289334e-05,8.311893454848729e-06,10000,81.02,78.42,2.6,0.9660563277244568,56.616154718017576,0.21609001514911652
2,128,4096,99.6826171875,0.23857495235279202,0.16983823757618666,0.13747340301051736,0.00012267751003491867,3.9262891888824925e-05,10000,81.02,75.61,5.41,1.0115272347450257,110.98372360839844,0.35046671500205995
3,128,4096,99.6826171875,0.22266189835499972,0.13899900851538405,0.16732574731577188,0.0001538947594781348,6.159572495789689e-05,10000,81.02,77.94,3.08,0.9194324640274047,75.88722142333984,0.2993700571537018
